,description,Product Description,ASIN,Manufacturer
199,"[' CRAFTED WITH INDUSTRY BEST PREMIUM MATERIALS: Materials: Vegan leather and nylon fabric, Casing: Soft, Colour: Tan, Water resistant: Yes.   ', ' PADDED LAPTOP COMPARTMENT AND MAXED OUT STORAGE: Dimension: 29 x 14 x 41 cm, Capacity: 16L, Fits up to a 15.4” laptop   ', ' MOST FEATURE RICH BACKPACK: Vegan leather trims, Padded shoulder straps, Easy length adjustment buckle & strap lock, Hidden expandable side water bottle pocket, Luggage sleeve   ', ' HIDDEN MAGNETIC POCKET: Snaps close and stores your phone/passport for quick access; MORE REASONS TO LOVE YOUR MOKOBARA: Warranty type: 12 Months, Register warranty on (mokobara.com/warranty), get in touch with us @7975298840 (10:30AM - 5:30PM MON-FRI)   ', ' Warranty Description: 12 Months Warranty; Age Range Description: Adult; Compartment Description: Up To 16 Inches; Closure Type: Zipper; Pattern Name: Solid; Lining Description: Polyester; Color Name: Nice And Dusty   ']",,B095PC3QPV,"Designed By Mokobara Lifestyle Private Limited, Mokobara Lifestyle Private Limited, Bangalore. Customer Care: Email : hello@mokobara.com Contact no. 7975298840 (10:30AM - 5:30PM MON-FRI)"
200,[],,,
201,"[' Outer Material : PU / Synthetic Leather  ', ' Closure : Turn Lock; Compartments: 1; Pockets: 1  ', ' Dimensions : L x W x H - 8.1 x 2.75 x 6 inches  ', ' Inner Material Type : Polyester  ', ' Age Range Description : Adult; Outer Material Type: Polyurethane  ']",,,
202,[],,,
203,[],,,
204,[],,,
205,[],,,
206,"[' Transport your laptop, tablet, files and daily accessories safely and securely with the 16 liter HP Lightweight 100 Backpack 15.  ', ' Protect your precious 15.6-inch laptop with the padded panels. Dual pocket protection design provides dual compartments for laptops and tablets.  ', ' Special features like Back Trolly sleeve and Padded Grab handle are added advantages of the backpack.  ', ' The HP 100 Lightweight backpak comes with Double Large compartments To accommodate your 15.6-inch laptop and other stuff, it comes with a spacious compartment and front pocket with organization panel and fabric side pockets. Furthermore, the compression straps add to its utility while the grab handle ensures a comfortable carry.  ', ' Rest easy with one-year limited warranty from the manufacturer.  ']",,,
207,[],,,
208,[],,,
209,"["" EUME's Made in India Laptop Backpack, made of Slub Nylon PU Coated Fabric. The inside has Polyester Lining 190. This product comes under the Bag/ Backpack/ Laptop Bag/ Laptop Backpack category. Find it in 4 colours - Teal Blue, Pear Green, Grey, Bufftan Brown.  "", ' Capacity: 23 Litres ; Weight: 0.450 kgs; Dimensions: Centimeters: 31.8 x 16.5 x 45.1, Inches: 12.5 x 6.5 x 17.8; Main Compartment: 2; Front Pocket: 2 - Side Pocket to keep your water bottle; Padded Internal Laptop Sleeve; Padded Shoulder Straps; Padded Back Panel  ', ' Maintenance: Wipe with a clean, dry cloth when needed. This bag is Water & Dust Resistant and has a Premium Quality Zipper and Puller  ', ' Other Specs: This bag can be custom adjusted to different heights for perfect placement and fits most 15-inch laptops. It has an Internal Organization panel, a Top Carry Handle and a Heavy Duty Reversible Zipper  ']","EUME Iris Casual Laptop Backpack Practical trend backpack, both very convenient to incorporate digital equipment, but also to give you large capacity main pockets to put some clothes, some books, bottle or something else. Multipurpose: suitable for business, school, hiking, travelling, camping, sports, school. To meet all your travel needs. Durable: made with superior quality Nylon fabric material and ensured for maximum durability and making the texture become ultra-durable and better ventilation not easy to deformation. This bag will last for many years. Comfortable: breathable mesh and wide shoulder straps with plentiful sponge padding help relieve the stress from your shoulder. You can to adjust the length of the shoulder straps if you need. Well-made and designed: it's attractive and functional looking. The whole backpack were designed and built very well and there are two compartments and reduced burden system designed.KEY FEATURES:OPTIMUM COMFORTErgonomically designed, the bags come with intelligently placed padded shoulder straps that can be comfortably fitted to suit even a six-foot tall person. A special feature of this laptop backpack is the well-crafted back padding that keeps the users back stress-free and relaxed, minimizing the load on the spine and shoulders from carrying the bag through a busy day of work and commute.CARRY IT IN STYLEEUME Iris 23 L is designed to deliver comfort, protection & style at the same. It’s perfect for daily commuters, college students and all types of travelers.AMPLE STORAGEEquipped with ample storage, our range of laptop bags pack in a day’s necessity of knick-knacks, neatly and sleekly. It has a dedicated laptop and I pad compartment with a multi-utility compartment for orderly arranging your essentials. For extra added convince this bag has 2 front easy access pockets.Read moreHIGHLIGHTS:Luggage StrapThe bag has a luggage strap that can be used with your trolley bag, so you won't have to carry your laptop everywhere. You can simply add the bag to the trolley handle and you are good to go.WATER RESISTANCEMade of high-density nylon, this backpack is water resistant, breathable and durable. It ensures that your important essentials & belongings are safe.STURDY DESIGNThe classic combination of dual colors makes your bag stand out and never loses its good looks. The rough texture makes it more sturdy & stylish.Read moreRead more",B07G13F54G,"EUME, Avon Lifestyle Pvt Ltd,B-2 Nandkishore Ind.Estate off,Cahakali Caves Road,Andheri East Mumbai-400093"
210,[],,,
211,"[' ✅ Well cushioned Laptop compartment and spacious enough to carry for cloth  ', ' ✅ Breathable and adjustable shoulder straps relieve the stress of shoulder.  ', ' ✅ Made of Durable Dhurry Fabric with metal zippers. Ensure a secure & long-lasting usage everyday & weekend  ', ' ✅ Made From 100% Sustainable And Natural Materials.  ', ' ✅ This Bag Is Entirely Designed And Made In India Using Finest Quality Materials.  ']",,,
212,"[' Leather material purple colored sling bag  ', ' 15.2 centimeters height x 21.5 centimeters length x 5.8 centimeters width  ', ' Zip closure with handle  ', ' 2 compartments and 1 pocket  ', ' 1 year domestic warranty against manufacturing defects  ']",,,
213,"[' PERFECT SIZE & STORAGE SPACE: Laptop backpack with perfect size to hold things and your 15.6 inch laptop or 15 inch, 14 inch Laptop. Convenient main pockets for iPad, charger, binders, books, clothes, ect. Inside pockets keep your wallet, phone. school bag for girls / bags for women / kids school bag / college bags for boys / laptop backpack  ', ' Front two slanted pocket perfect for quick finds such as your ID for work, f gear laptop bags . keys for open door, two side pockets for water bottle and compact umbrella make your items organized. it can be use as school college bags for girls / backpack for men /backpacks for women . you can use it as a gift for men . bags for travelling  ', ' COMFY & STURDY: Made from WATER RESISTANT and DURABLE ECO-FRIENDLY nylon fabric with Two PADDED shoulder straps, relieve the stress of shoulder, simple but comfortable back design offer your great back support, making your working, journey and travelling more convenient wherever you go. you can use it such as office bag for men . office bag for women .  ', ' Light-weight Carrying and perfect for business traveling or trip, weekend getaways, back to school, outdoor activities and college bag for men etc;  ', ' MULTIPURPOSE & SIZE: 20 x 12.2 x 5.7 Inch, perfect to throw under your seat on an airplane when you are traveling or on business trip. Suitable for back to school college, can be easily stored. Good choose for a business laptop backpack, work backpack, laptop bag for men and women, also will be a good gifts for women, gifts for men, gifts for boyfriend or girlfriend and gift bag for travelers.  ']",,,
214,[],,,
215,"[' Anti-bacterial inner lining and water-resistant fabric will protect your personal items from the penetration of moisture or bacterial   ', ' The tidy and fine close stitching ensure the bags are sturdy and durable, the high quality smooth zipper bring the best user experiences   ', ' Multiple compartments for different requests of storage, the bag will keep your toiletry accessories safe; The durable hook is convenient for hanging the bag wherever in the hotel or in the tent for space saving   ', ' Premium Quality: Mainly made of high quality Denier Nylon, PVC backing, strong durable hanging hook, best zipper and highest-standard workmanship.   ', ' Age Range Description: Adult; Pattern Name: Solid; Material Type: Polyvinyl Chloride   ']",,,
216,[],,,
217,"[' Care Instructions: Machine Wash  ', ' Convenient – Our wet bags are great for carrying diapers, dirty gym clothes and wet swimsuits; not just for wet stuff - these bags make excellent organizers for toys, accessories, toiletries, electronics, travel and more  ', "" Reuse And Reduce Waste – The better alternative to single-use plastic bags, our bags are made of Chic Buddys' original waterproof fabric that’s both soft and strong (although fabric is waterproof, bags are not completely leakproof due to zippered closure)  "", ' Waterproof – Chic Buddys’ original fabric is 100% polyester with embedded TPU for waterproofing and our heat-sealed seams keep the mess where it belongs - inside the bag  ', ' Lots Of Uses – Not just for wet stuff - these bags make excellent organizers for toys, accessories, toiletries, electronics, travel and more! With a snap handle, snap your bag wherever you need it - stroller, changing table or suitcase  ', ' Easy-To-Clean – Wipe small messes; hand-wash or machine wash; to extend the life of fabric, we do recommend hang drying our quick-dry fabric; always ensure fabric is completely dry before storing  ']",,,
218,"[' LAPTOP BACKPACK with USB PORT: With built in USB Port, this laptop backpack offers you a more convenient way to charge your phone while on the go. It accommodates laptops up to 15.6 inches. Perfect for daily commuters, college students and office use.; DURABLE DESIGN: This Business Laptop backpack made of water-repellent polyester fabric and streamlined design with a padded interior to protect your laptop   ', ' COMFORTABLE FIT: This Minimalist Design Laptop backpack has a padded back panel and fully adjustable shoulder straps making it comfortable for all day use, plus Two quick access front zippered pockets for extra storage. Dimensions: 18.5 x 13 x 6.5 inches. Capacity: 26 Litre   ', ' CONVENIENT STORAGE: In addition to the laptop compartment, there are Separate Portable Zippered Pouch for All Small Gadgets, HDD, Power Bank, USB Cables, Power Adapters. Main compartment has organizer section with many to keep your pens, business cards, pendrive and other small items in organised way.; MADE IN INDIA : We Made this Elegant Laptop Bag in Our own Factory located in Mumbai. We offer 1 Year Manufacturer Warranty   ', ' Pattern Name: Solid; Age Range Description: Adult; Compartment Description: Up To 15 Inches; Water Resistance Level: Water Resistant; Warranty Description: Warranty Description: 1 Year Warranty Against Manufacturing Defects.   ', ' Pocket Description: Utility Pocket   ']","Read moreRead moreKey FeaturesUSB CHARGING PORTWith built in USB charging port gives convenience to charge  your phone while on move. Please note: power bank not included, USB  charging port only offers an easy access to charge with your own power  bank.SPACIOUSOne spacious packing compartment for daily necessities which  includes One padded laptop sleeve to hold 15.6 Inch Laptop along with  many small organizer pockets.Water BottleThe two sided pocket comes with ample space and  water bottle compartmentRead moreKey FeaturesAdjustable StrapsComfortable airflow back design with thick ventilated  padding, gives you  maximum back support. Breathable and adjustable  shoulder straps relieve  the stress of shoulder. Elegant top handle for a  long time carry on.Feather LightCrafted with the finest materials this bag is designed for    keeping  things light without compromising on comfort, keeping it     light-weightWATER RESISTANCEStylish and Durable Spacious Laptop Backpack for Travel Cosmus Vogue 15.6 inch laptop backpack is made of High grade water     resistance PU   coated polyester material that gives it strength and  makes    it  durable  for long-term use.Read moreCosmus Vogue Grey Laptop BackpackCOSMUS Vogue 15.6 inches Business Laptop Backpack is the   sleek and lightweight solution for your Laptop Bags needs that\'s   perfectly suited to your daily lifedimensions: 18.5 x 13 x 6.5 inches : 47cm x 33cm x 17cm : Capacity 26 LitresOther FeaturesLaptop compartmentSeparate Portable Zippered PouchTwo Front Zipper PocketStylish Modern DesignMADE IN INDIARead more",,‎COSMUSBAGS PVT.LTD.
219,[' Handcrafted with care and made up of premium quality robust material  '],,B0B69M182Q,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
220,"[' ? PREMIUM MATERIAL: This multifunctional backpack is made of high quality water resistant and scratchproof material. Hard shell geometric design in front. Premium quality, durable, smooth pullers and sealed zippers.   ', ' ?ORGANIZED STORAGE: Well arranged spaced compartment with separate sleeves to carry a Laptop, Tablet, iPad. Spacious enough to store documents and office accesories, Clothings and short business trip necessities, mobile, passport, headphones,etc.   ', ' ? ANTI- THEFT DESIGN & TSA LOCK: A built-in TSA lock gives the backpack an added level of security. The lock can be opened by TSA as needed during the screening process thus helps deter thefts during travel.   ', ' ? COMFORT: Adjustable soft cushioned shoulder straps for better handling. Hidden cards slot on the straps for easy access. Sturdy elegant handle to feel comfortable and carry at ease.; ? SIZE : Weight of the bag is 1.2 Kg ; Dimensions: 30 cms x 8 cms x 47 cms (LxWxH).   ', ' Material Type: Polyester; Special Features: Locking; Style Name: Modern; Age Range Description: Adult; Lining Description: Polyester   ']","Red LemonPremium Quality , Affordable RatesPrevious pageRED LEMON, a premium travel accessories brand, focusing on quality products that inspire people to explore and pursue fashion, high efficiency and unique lifestyle.Travel Backpack Duffle Bag· Multi-functional Storage 3 in 1 Duffle Bag· High Capacity with Separate Shoe Compartment· Premium MaterialLaptop BackpackVisit the StoreLaptop BackpackVisit the StoreRed Lemon Sling BagsVisit the StoreMacbook HardcasesVisit the StoreRed Lemon T1 Stylus Pen• UPGRADED NIB & ULTRA-HIGH PRECISION• PALM REJECTION - improved accuracy• TILT FUNCTION & MAGNETIC ADSORPTIONMessenger BagsVisit the StoreLaptop SleevesVisit the StoreLaptop & Phone StandsVisit the StoreTravel OrganizersVisit the StoreMouse Pad/ Mouse PouchVisit the StoreNext pageRed Lemon BANGE Titanium Multifunctional Hard Shell Waterproof Business Travel Laptop Backpack for Men and Women (Black)PREMIUM MATERIAL: This multifunctional backpack is made of high quality water resistant and scratchproof material. Hard shell geometric design in front. Premium quality, durable, smooth pullers and sealed zippers.ORGANIZED STORAGE: Well arranged spaced compartment with separate sleeves to carry a Laptop, Tablet, iPad. Spacious enough to store documents and office accessories, Clothing's and short business trip necessities, mobile, passport, headphones, etc.COMFORTAdjustable soft cushioned shoulder straps for better handling.Hidden cards slot on the straps for easy access. Sturdy elegant handle to feel comfortable and carry at ease.ADJUSTABLE STRAPThe adjustable strap ensures comfort for carrying it on your shoulder.COMPARTMENTThese compartments carrying heavy items are Made with strong yet lightweight polyester fabric with heavy zippers.STRONG ZIPPERSMade with strong yet lightweight fabric with strong metal zippers.Read moreANTI- THEFT DESIGN & TSA LOCKA built-in TSA lock gives the backpack an added level of security.The lock can be opened by TSA as needed during the screening process thus helps deter thefts during travel.SIZEWeight of the bag is 1.2 KgDimensions: 30 cms x 8 cms x 47 cms (LxWxH).",B09ZYQH7C5,Encon Impex Pvt Ltd
221,"[' Care Instructions: Wipe with Damp Cloth  ', ' Handcrafted with care and made up of premium quality robust material, Wrinkle free bag and 3x more water resistant with Rainproof zippers  ']",,B0B81YTTWS,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
222,"[' ✅ Lightweight yet durable bag for use or everyday outings  ', ' ✅ Made Using 100% Sustainable And Eco Freindly Cotton Materials  ', ' ✅ We have used high-quality metal and fabric in this bag  ', ' ✅ The bags work quite well for casual as well as party wear  ', ' ✅ The soft Straps make it convenient for you to hold it the whole day  ']",,,
223,[],,,
224,[' The actual colour of the product and the zip runner puller might slightly vary compared to the images as shown in this product detail page due to availability.  '],,,
225,[],,,
226,[],,,
227,[],,,
228,[],,,
229,"[' 2-main zippered compartment, one inside sleeve for laptop, a front pocket with an organizer.  ', ' One zippered front pocket, one mesh zippered pocket & two mesh pockets on both sides.  ', ' Thick padding anti-sweat breathable air mesh & adjustable padded shoulder straps.  ', ' World’s best Japanese brand YKK zippers and sliders.  ', ' Comes with the F Gear promise of quality and durability.  ']",,,
230,"[' Product Features: It is Lightweight and comfortable to carry with adjustable padded straps. This Backpack has decent capacity to store essentials with inside zipper pockets to put your private or valuable items. It also has Zipper closure for handy access. It is perfect for business, travelling, meeting, shopping and daily use.   ', ' Laptop Compatibility: Yes, Upto 15 inches   ', ' Warranty Type: Manufacturer , 6 months manufacturer warranty on manufacturing defects only.   ', ' Age Range Description: Adult; Special Features: Back Padding; Compartment Description: Up To 15 Inches   ', ' Pattern Name: Solid   ']","Police Walt Laptop BackpackCLASSIC AND STURDY BAGFeaturing a lightweight design and a laptop compartment, The Classic laptop backpack is an everyday companion that lets you easily carry your necessities and keep your busy life on the go. This backpack is a must for daily use and travels. Designed for efficiency and comfort, it's the smart choice for students, commuters and travelers alike. This lightweight bag has padded solid color exterior with practical interior organization. With its fashionable design, spacious compartments for books, laptop, accessories, and more, comfortable ergonomic straps with breathable padding, and quick-access pockets to keep you organized on the move, this backpack is designed to keep you stylish as well as comfortable no matter where you're headed next!Read moreRead morePolice Walt Laptop BackpackThis Police Backpack is made up of durable and Premium Quality. It is Lightweight and comfortable to carry with adjustable padded straps. This Backpack has decent capacity to store essentials with inside zipper pockets to put your private or valuable items. It also has Zipper closure for handy access. It is perfect for business, travelling, meeting, shopping and daily use.Read moreRead morePadded Back Straps:The bag has padded adjustable back straps that provide carrying comfort. The back panel is also finely padded for ease when you are carrying the backpack. This provides resistance from sweat along with ease of carrying the bag when you are on the move.SPECIAL FEATURE SECTIONThe Police Laptop backpack is ergonomically designed and is heavily padded which helps evenly spread the weight of the bag on both shoulders and minimizing the stress on your shoulders and back by providing a Spacious Lumbar Support.Multi-pocket designOur is the only backpack designed to carry a 15"" laptop also includes a water bottle pocket, padded sleeve for laptops up to 15"", 2 side pockets and a front zipper pocket so you can stay organized on the go.SLEEK DESIGN with STURDY DESIGNEach Police bag is aesthetically designed and hand crafted by expert smiths to ensure consistent superior quality and high value for customers.Read moreRead more",B084Q4N84P,"Torero Corporation Pvt Ltd, S22, EKTP Phase 3, Kasba Industrial Estate, Sector G, East Kolkata Twp, Kolkata, West Bengal 700107, Email- customercare@torerocorp.com"
231,"[' Care Instructions: Wipe with Damp Cloth  ', ' CRAFTED WITH INDUSTRY BEST PREMIUM MATERIALS: Materials: Vegan leather and nylon fabric, Casing: Soft, Colour: Blue, Water resistant: Yes   ', ' FRONT COMPARTMENT FOR QUICK ACCESS: Keyholder, Card holder, Zipper pocket   ', ' MOST FEATURE RICH BACKPACK: Vegan leather trims, Padded shoulder straps, Easy length adjustment buckle & strap lock, Hidden expandable side water bottle pocket, Hidden magnetic passport pocket, Luggage sleeve   ', ' MORE REASONS TO LOVE YOUR MOKOBARA: Warranty type: 12 Months, Register warranty on (mokobara.com/warranty), get in touch with us @7975298840 (10:30AM - 5:30PM MON-FRI)   ', ' Pattern Name: Solid; Strap Type: Cross-Body; Compartment Description: Up To 16 Inches; Color Name: Deep Dive; Warranty Description: 12 Months Warranty; Age Range Description: Adult; Lining Description: Polyester   ']","Crisp simplicity, loaded with features. This backpack is a win-win.Each detail of the Backpack pro is carefully considered, from its balanced proportions and sleek profile down to the color-matched premium zips.Vegan Leather FaciaCrafted with superior vegan leather facia and high-quality water-resistant nylon fabric body.Contoured bottle holderExpandable contoured side pocket that zips out to fit a water bottle or umbrella.Strap length adjustment buckle & lockPadded shoulder straps for shoulder comfort, that come with easy length adjustment buckle and strap lock.Secret pocketBody blended magnetic pocket for passport, boarding pass, and cellphone.Read moreLuggage sleeveThe built-in luggage sleeve secures to any Mokobara suitcase for a smooth ride.",B08SWDK9S7,"Mokobara, Mokobara Lifestyle Private Limited, Bangalore. Customer Care: Email : hello@mokobara.com Contact no. 7975298840 (10:30AM - 5:30PM MON-FRI)"
232,[],,,
233,[' Vifitkit Gym Bag - Blue & Black  '],,,
234,[],,,
235,"[' COMPATIBILITY: Our Stylish Office Bag for women is an ideal laptop bag, handbag or a Professional Bag. It can fit a laptop of upto 15.6 inches and is perfect for Macbook, Chromebook, iPad, Tablet, Hp, Lenovo, Dell etc. Dimensions: 16 x 13 x 4 inch.  ']",,,
236,[],,,
237,[],,,
238,[],,,
239,[],,,
240,"[' Care Instructions: Wipe with Damp Cloth  ', ' Please reach out to our customer care at +91 8691800800 or email at customercare@uppercase.co.in for warranty registration and any query regarding the product. Handcrafted with care and made up of premium quality robust material   ', ' Printed & Compact yet spacious; Wrinkle free bag and 3x more water resistant with Rainproof zippers   ', ' Right sized with sturdy stitching; Dimension: (30.3 cm x 14.5 cm x 43 cm); Warranty: 750 days international warranty   ', ' GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); Padded laptop compartment fits up to 15"" Laptop, Front Access pocket & Back padding with Air mesh   ', ' Style Name: Casual; Pocket Description: Stash Pocket; Age Range Description: Adult; Special Features: Waterproof; Material Type: Polyester; Lining Description: Polyester   ']",,B0B9T7PD7T,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
241,"[' MADE IN INDIA : We Made this Elegant Laptop Bag in Our own Factory located in Mumbai. We offer 1 Year Manufacturer Warranty FREE NO-TOUCH DOOR OPENER: This Door Opener Keychain can be used to avoid touching surfaces contactless. Use it on door handles, ATM keypads, elevators, retail checkout payment pads etc; Closure Type: Zipper Snap; Age Range Description: Adult; Pattern Name: Solid; Pattern Name: Solid; Closure Type: Zipper Snap; Age Range Description: Adult   ', ' Water Resistance Level: Water Resistant; Strap Type: Adjustable Handle; Warranty Description: Cosmus Branded Backpack Comes With One Year Manufacturer Warranty.; Style Name: Casual Backpack   ', ' Special Features: Usb Port; Lining Description: Polyester; Material Type: Polyester   ']","Read moreRead moreKey FeaturesUSB CHARGING PORTWith built in USB charging port gives convenience to charge your phone while on move. Please note: power bank not included, USB charging port only offers an easy access to charge with your own power bank.SPACIOUSOne spacious packing compartment for daily necessities which includes One padded laptop sleeve to hold 15.6 Inch Laptop along with many small organizer pockets.Water BottleThe two sided pocket comes with ample space and  water bottle compartmentRead moreKey FeaturesAdjustable StrapsComfortable airflow back design with thick ventilated padding, gives you maximum back support. Breathable and adjustable shoulder straps relieve the stress of shoulder. Elegant top handle for a long time carry on.Feather LightCrafted with the finest materials this bag is designed for  keeping  things light without compromising on comfort, keeping it   light-weightWATER RESISTANCEStylish and Durable Spacious Laptop Backpack for Travel Cosmus Vogue 15.6 inch laptop backpack is made of High grade water     resistance PU   coated polyester material that gives it strength and  makes    it  durable  for long-term use.Read moreCosmus Vogue Navy Blue Laptop BackpackCOSMUS Vogue 15.6 inches Business Laptop Backpack is the sleek and lightweight solution for your Laptop Bags needs that\'s perfectly suited to your daily lifedimensions: 18.5 x 13 x 6.5 inches : 47cm x 33cm x 17cm : Capacity 26 LitresOther FeaturesLaptop compartmentSeparate Portable Zippered PouchTwo Front Zipper PocketStylish Modern DesignMADE IN INDIARead more",,‎COSMUSBAGS PVT.LTD.
242,"[' Care Instructions: Wipe with Damp Cloth  ', ' Handcrafted with care and made up of premium quality robust material; Wrinkle free bag and 3x more water resistant with Rainproof zippers  ', ' Right sized with sturdy stitching; Dimension: (28.6 cm x 17 cm x 46.1 cm)  ']",,B0BC4B4VRM,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
243,"[' Care Instructions: Wipe with Damp Cloth  ', ' Handcrafted with care and made up of premium quality robust material; Wrinkle free bag and 3x more water resistant with Rainproof zippers  ']",,B0B8NV9YX3,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
244,[],,,
245,[],,,
246,"[' Compact sling bag  ', ' 17 cm height x 23 cm length x 7 cm width  ', ' Single compartment with two pockets  ', ' Classic style suitable for all occasion and outfits  ']",,,
247,[],,,
248,[],,,
249,[],,,
